"Original	Titulo	Anio	Sinopsis	Link_Imagen	Generos	Puntuacion_IMDb	Temporadas	Episodios";;
"(Des)encanto	(Des)encanto	2018	«(Des)encanto» narra las desventuras de Bean, una princesa aficionada a la bebida en el mundo medieval en ruinas de Dreamland. Ahí viaja acompañada por Elfo, su enérgico acompañante, y Luci, su demonio personal. En el camino, este trío disfuncional se encontrará con ogros, arpías, trolls, duendecillos, diabillos, morsas y muchos humanos tontos.	https://image.tmdb.org/t/p/original/7aHRcC94liRO8rVHtk9aVabXbgF.jpg	Animación. Comedia. Fantástico | Edad Media. Fantasía medieval	9.7	5	50";;
"¡Scooby Doo! en el Misterio del Faraón [2005][720p][1.12 Gb]	¡Scooby Doo! en el Misterio del Faraón	2005	La arqueóloga y superdetective Velma está en Egipto para asistir a una ceremonia donde se dará a conocer a una misteriosa Esfinge restaurada, una mítica criatura con cabeza de hombre y cuerpo de león y descubrir también una tumba oculta que pertenece a la mismísima Cleopatra. Pero Velma, Scooby-Doo y la Compañía del Misterio tendrán que tener mucho cuidado con la maldición del Faraón: ¡El Nilo se dividirá, el desierto se alzará y todo aquel que se atreva a entrar en la tumba se convertirá en piedra! Pero nuestros amigos no se detienen ante nada y se enfrentarán a algo todavía más terrorífico: ¡un ejército de momias vivientes!	https://image.tmdb.org/t/p/w500/kxv1K6ZAxicTsceAhMLUIuTj7Uy.jpg	Misterio, Animación, Familia, Aventura, Comedia, Fantasía	7.4	0	0";;
"¡Scooby-Doo! ¡Piratas a babor [2006][720p][1.09 Gb]	¡Scooby-Doo! ¡Piratas a babor!	2006	""El miedo reina en Altamar cuando Scooby-Doo y su pandilla toman un aterrador crucero hacia uno de los lugares más misteriosos del planeta, el legendario ¡Triángulo de las Bermudas! La banda debe enfrentarse al peligro constantemente";" desde apariciones alienígenas hasta espantosos Piratas Fantasma, a los que les encanta hundir cruceros a cañonazos. Pero las cosas empeoran todavía mas cuando los Piratas Fantasma secuestran a los padres de Fred, convirtiendo a su madre en un pirata. Si Scooby-Doo, Shaggy y la pandilla del Misterio no logran resolver este misterio marítimo, serán lanzados al mar, ¡y se convertirán en las próximas víctimas del Triángulo!.""	https://image.tmdb.org/t/p/w500/vqy0hBB6fazUZ5joQf8LlIPT8YA.jpg	Fantasía, Animación, Comedia, Familia, Misterio, Aventura	7.5	0	0";
"¡Scooby-Doo! Y la maldición del fantasma número trece [2019][1080p][3 1 Gb]	¡Scooby-Doo! Y la maldición del fantasma número 13	2019	Después de que los miembros de Misterios S.A. echasen a perder un caso al atrapar a un hombre inocente, se ven obligados a retirarse de las investigaciones criminales. Pero, al poco tiempo, su viejo amigo Vincent Van Ghoul necesita ayuda, así que consigue que el equipo vuelva a la acción. Todo comenzó un verano cuando Scooby-Doo, Shaggy y Daphne cazaron en secreto a 12 de los fantasmas más espeluznantes del mundo, aunque no pudieron pillar al más malvado de todos... al fantasma número 13. Con el 13º fantasma suelto, la pandilla tendrá que ver más allá de los secretos ocultos y resolver algunos asuntos pendientes.	https://image.tmdb.org/t/p/w500/zo40Q5LMzP0lGt7pwRre3DLEhQW.jpg	Comedia, Familia, Animación, Aventura, Misterio	7.9	0	0";;
"101 Dalmatas [1961][1080p][3.8 Gb]	101 dálmatas	1961	Pongo y Perdita, los dalmatas protagonistas, son una feliz pareja canina que vive rodeada de sus cachorros junto a sus amos, Roger y Anita. Pero la felicidad no es eterna y hay una malvada mujer, que vive en una gran mansion, que es la mayor enemiga del perro.Cuando se entera de que los protagonistas tienen nada menos que quince cachorros dalmatas, su sueño de obtener un exclusivo abrigo de piel de los pequeños perros, se convierte en una obsesion. Para conseguirlo contrata a dos ladrones y pone en marcha un malvado plan con el unico fin de secuestrar a los dalmatas.	https://image.tmdb.org/t/p/w500/2Bt5iwJ0bMPWgIMBVTJPtI7onbe.jpg	Aventura, Animación, Comedia, Familia	7.175	0	0";;
"101 Dalmatas 2 [2003][1080p][3.3 Gb]	101 dálmatas 2	2003	""Perdido en un mar de manchas, el pequeño Patch quiere destacar sobre los demás cachorros y sueña con convertirse en un perro """"único en su especie"""" como su estrella favorita de televisión, Relámpago. Cuando Patch se separa accidentalmente de su familia, tiene la oportunidad de conocer a su héroe y milagrosamente, convertirse en su socio en la vida real. Mientras, Cruella se ha convertido en mecenas de un excéntrico artista cuya pintura se compone de juegos de manchas. Para inspirarle, Cruella secuestra a todos los cachorros de Dálmatas. Juntos Patch y Relámpago planean rescate y Patch descubre que realmente es un perro único.""	https://image.tmdb.org/t/p/w500/tBZbbkloDEeA8Fy8KjNBNVAhByv.jpg	Familia, Animación, Aventura, Comedia	6.028	0	0";;
"Abominable [2019] [latino] [1,48 Gb]	Abominable	2019	Yi es una adolescente más en la enorme ciudad de Shanghai. Un día, se encuentra a un joven yeti en la azotea de su edificio. La supuestamente “abominable” criatura, que se ha escapado del laboratorio donde estaba encerrado, está siendo buscada por toda la ciudad. Junto con sus ingeniosos amigos Jin y Peng, Yi decide ayudarle a huir, le bautizan como “Everest” y los cuatro se embarcan en una épica aventura para reunir a la mítica criatura con su familia en el pico más alto del mundo.	https://image.tmdb.org/t/p/w500/436T2Ct0SyQlb262ogsHLumepwi.jpg	Familia, Animación, Aventura, Comedia, Fantasía	7.455	0	0";;
"Aladdin [1992][1080p][4.19 Gb]	Aladdin	1992	Aladdín es un ingenioso joven que vive en una extrema pobreza, y que sueña con casarse con la bella hija del sultán, la princesa Jasmine. El destino interviene cuando el astuto visir del Sultán, Jafar, recluta a Aladdín para que le ayude a recuperar una lámpara mágica de las profundidades de la Cueva de las Maravillas. Aladdín encuentra una lámpara maravillosa con un genio dentro, y sus deseos comienzan a hacerse realidad.	https://image.tmdb.org/t/p/w500/5ALwczKzFxbsiMDlHuy7aREDCzr.jpg	Animación, Familia, Aventura, Fantasía, Romance	7.654	0	0";;
"Aladdín 2 - El Regreso de Jafar [1994][1080p][2.9 Gb]	El retorno de Jafar	1994	Aladdín y Jasmine viven felices en el palacio real, rodeados de lujos y de la magia del genio. Pero, muy lejos de allí, algo se remueve en las arenas del desierto: Iago, el loro dentudo de Jafar, ha logrado escapar de la lámpara que los mantenía presos a ambos. Tras traicionar a su amo, Iago decide vivir una nueva vida en donde él es el jefe. Pero Jafar esconde más de un as en la manga.	https://image.tmdb.org/t/p/w500/dpnjhDsWimMUOMsuz2AVsqeU9vL.jpg	Familia, Aventura, Animación, Romance	6.242	0	0";;
"Aladdín 3 - El Rey de los Ladrones [1996][1080p][3.4 Gb]	Aladdín y el rey de los ladrones	1996	Por fin Aladdín se va a casar con la princesa Jasmine. A pesar de la presencia y ánimo de sus amigos Genio, Alfombra y el mono Abú, está algo preocupado: tiene miedo porque no sabe qué tipo de padre va a ser, si él nunca tuvo ninguno. Pero todas sus preocupaciones quedarán de lado cuando 40 ladrones irrumpen en la boda para robar un mágico talismán.	https://image.tmdb.org/t/p/w500/8hNo4sagsaO6ZnZO52QKX7Ggco6.jpg	Aventura, Animación, Familia	6.259	0	0";;
