Titulo_original;Titulo_encontrado;Fuente;Sinopsis;Poster_URL;Generos;Puntuacion;Episodios;URL_Externa
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii episodio 1 [mandranime];Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!;TMDB;Cuando Adachi cumplió los 30 años siendo virgen, recibió un peculiar don: la capacidad de leer la mente de cualquiera a quien toque. Pensando en qué hacer con este misterioso nuevo poder, decide probar suerte leyendo la mente de su colega de trabajo Kurosawa. Lo que descubre es que el popular tipo de ventas, ¡está enamorado de él! ¿Cómo actuará Adachi ante los afectuosos pensamientos de su compañero?;https://image.tmdb.org/t/p/original/1rv6Lw43ARlUaHXyCQASkcM43Uk.jpg;Animación, Comedia;7.629;12;https://www.themoviedb.org/tv/237045
5 Centímetros por Segundo [2007][1080p][3.08 Gb];Byousoku 5 Centimeter;Jikan (MyAnimeList);What happens when two people love each other but just aren't meant to be together? Takaki Toono and Akari Shinohara are childhood friends, but circumstances beyond their control tear them apart. They promise to stay in contact, and although the progression of time widens the distance between them, the chain of memories remains ever-present.  Byousoku 5 Centimeter is a romantic drama that focuses on the mundane and harsh reality of long-distance relationships. Stuck in the past and unable to make any new memories, Takaki and Akari cling to the hope of seeing each other again. They live their everyday lives half-heartedly, both hurting themselves and the people around them.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1410/112994l.jpg;Drama, Romance;7.55;3;https://myanimelist.net/anime/1689/Byousoku_5_Centimeter
7 Seed;7 Seeds;TMDB;"En el futuro inmediato, un meteorito gigante ha colisionado con la tierra. Todos los organismos vivos, incluida la humanidad, han sido borrados de la faz del planeta. El gobierno, que había previsto este resultado, tomó medidas para contrarrestar el peor escenario posible. En particular, fue el Proyecto ""7SEEDS"", en el que se seleccionaron cuidadosamente cinco grupos de siete hombres y mujeres jóvenes y se colocaron en equipos (Primavera, Verano A, Verano B, Otoño e Invierno). Cada participante fue sometido a un sueño criogénico con la esperanza de preservar la existencia continua de la humanidad.  Cuando esos hombres y mujeres se despertaron, se encontraron repentinamente empujados hacia un mundo cruel. Mientras estaban despojados y afligidos por haber perdido a sus seres queridos para siempre, buscaron formas de sobrevivir.";https://image.tmdb.org/t/p/original/d84XDdYib5nEKvHm2HAh2itIgBY.jpg;Animación, Drama, Sci-Fi & Fantasy;7.667;24;https://www.themoviedb.org/tv/85940
Akame ga Kill!;Akame ga Kill!;Jikan (MyAnimeList);Night Raid is the covert assassination branch of the Revolutionary Army, an uprising assembled to overthrow Prime Minister Honest, whose avarice and greed for power has led him to take advantage of the child emperor's inexperience. Without a strong and benevolent leader, the rest of the nation is left to drown in poverty, strife, and ruin. Though the Night Raid members are all experienced killers, they understand that taking lives is far from commendable and that they will likely face retribution as they mercilessly eliminate anyone who stands in the revolution's way.  This merry band of assassins' newest member is Tatsumi, a naïve boy from a remote village who had embarked on a journey to help his impoverished hometown and was won over by not only Night Raid's ideals, but also their resolve. Akame ga Kill! follows Tatsumi as he fights the Empire and comes face-to-face with powerful weapons, enemy assassins, challenges to his own morals and values, and ultimately, what it truly means to be an assassin with a cause.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1429/95946l.jpg;Action, Fantasy;7.48;24;https://myanimelist.net/anime/22199/Akame_ga_Kill
Akira [1988][1080p][3.8 Gb];Akira;Jikan (MyAnimeList);"Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns.""  During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/1408/114012l.jpg;Action, Horror, Sci-Fi;8.16;1;https://myanimelist.net/anime/47/Akira
Ame wo Tsugeru Hyouryuu Danchi (Hogar a la Deriva) [2022][1080p][6 Gb];Ame wo Tsugeru Hyouryuu Danchi;Jikan (MyAnimeList);Ever since the death of his grandfather, Yasuji, Kousuke Kumagaya has grown distant from his close friend, Natsume Tonai. Having grown up together like siblings in the same apartment building, the two now find themselves at odds with one another due to Natsume's inability to let go of the past. This rift is further exacerbated by the news that their former complex will soon be demolished.  Hearing about a ghost that is supposedly haunting the old complex, Kousuke's friends drag him into the demolition site to look around. When Kousuke finds that Natsume is also there, they get into an argument over an old camera that once belonged to Yasuji. This results in Natsume running off with it, but just as she is about to fall off the rooftop, a torrential downpour envelops the entire building, flooding the ground around it.  The young children now find themselves drifting at sea with the apartment building acting as their ship. Unable to communicate with the rest of the world, Natsume and Kousuke must reconcile their differences if they want to stand a chance at finding their way home.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1263/124155l.jpg;Fantasy;7.32;1;https://myanimelist.net/anime/49938/Ame_wo_Tsugeru_Hyouryuu_Danchi
Angolmois - Genkou Kassenki;Angolmois: Genkou Kassenki;TMDB;"Otoño de 1274 (año 11 de la era Bun'ei), seguimos las vicisitudes de los valientes samuráis que tuvieron que defenderse de la primera invasión mongola de Japón. Los protagonistas históricos de la historia son: Kuchii Jinzaburo, un samurai errante exiliado a Tsushima por el shogunato Kamakura debido a un cierto accidente; y Teruhi, la hija del jefe So Sukekuni, tan hermosa como letal con su arco.";https://image.tmdb.org/t/p/original/aiKhbZsaqRc5qhS8LfVkpj8kiEh.jpg;Animación, Action & Adventure, War & Politics;6.5;12;https://www.themoviedb.org/tv/80767
Another;Another;Jikan (MyAnimeList);"In class 3-3 of Yomiyama North Junior High, transfer student Kouichi Sakakibara makes his return after taking a sick leave for the first month of school. Among his new classmates, he is inexplicably drawn toward Mei Misaki—a reserved girl with an eyepatch whom he met in the hospital during his absence. But none of his classmates acknowledge her existence; they warn him not to acquaint himself with things that do not exist. Against their words of caution, Kouichi befriends Mei—soon learning of the sinister truth behind his friends' apprehension.  The ominous rumors revolve around a former student of the class 3-3. However, no one will share the full details of the grim event with Kouichi. Engrossed in the curse that plagues his class, Kouichi sets out to discover its connection to his new friend. As a series of tragedies arise around them, it is now up to Kouichi, Mei, and their classmates to unravel the eerie mystery—but doing so will come at a hefty price.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/4/75509l.jpg;Horror, Mystery;7.46;12;https://myanimelist.net/anime/11111/Another
Ao Haru Ride;Ao Haru Ride;Jikan (MyAnimeList);"While most young girls make an effort to show off their feminine charms, Futaba Yoshioka deliberately behaves like she wants to repel anyone who might be attracted to her. Ostracized by her female classmates in middle school for being a little too popular with the boys, she desperately strives to avoid a similar situation in high school by being unnecessarily noisy and graceless.  Nevertheless, scattered among Futaba's unpleasant memories are the treasured moments with the boy she had a crush on, Kou Tanaka. Unfortunately, that spell abruptly ended on a sour note when he suddenly stopped attending school and never came back. When Futaba finds out that Kou has returned—with a different last name this time—she can already feel the butterflies in her stomach. However, Kou Mabuchi is not the warm boy that she remembers from her days in middle school; he is now taller, more charismatic and withdrawn—making him far less approachable.  Futaba believes that if she returns to her former self, Kou will begin to take notice of her again. But is she prepared to sacrifice her bubble of normalcy and risk losing her friends in the process?  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/8/64813l.jpg;Romance;7.63;12;https://myanimelist.net/anime/21995/Ao_Haru_Ride
Ao no Exorcist;Ao no Exorcist;Jikan (MyAnimeList);Humans and demons are two sides of the same coin, as are Assiah and Gehenna, their respective worlds. The only way to travel between the realms is by the means of possession, like in ghost stories. However, Satan, the ruler of Gehenna, cannot find a suitable host to possess and therefore, remains imprisoned in his world. In a desperate attempt to conquer Assiah, he sends his son instead, intending for him to eventually grow into a vessel capable of possession by the demon king.  Ao no Exorcist follows Rin Okumura who appears to be an ordinary, somewhat troublesome teenager—that is until one day he is ambushed by demons. His world turns upside down when he discovers that he is in fact the very son of Satan and that his demon father wishes for him to return so they can conquer Assiah together. Not wanting to join the king of Gehenna, Rin decides to begin training to become an exorcist so that he can fight to defend Assiah alongside his brother Yukio.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/10/75195l.jpg;Action, Supernatural;7.47;25;https://myanimelist.net/anime/9919/Ao_no_Exorcist
